CNT,STIDSTD,BirthYear,Gender,Repeat01,Repeat02,Repeat03,LateForSchool,SkipWholeDay,SkipClasses
China-Shanghai,00001,1996,Male,never,never,never,None,None,None
China-Shanghai,00002,1996,Male,never,never,never,None,None,None
China-Shanghai,00003,1996,Female,never,never,never,None,None,None
China-Shanghai,00004,1996,Female,never,never,never,None,None,None
China-Shanghai,00005,1996,Male,never,never,never,None,None,None
China-Shanghai,00006,1996,Female,never,never,never,None,None,Oneortwotimes
China-Shanghai,00007,1996,Female,never,never,never,None,None,None
China-Shanghai,00008,1996,Male,never,never,never,Oneortwotimes,None,None
China-Shanghai,00009,1996,Male,never,never,never,None,None,None
China-Shanghai,00010,1996,Female,never,never,never,None,None,None
China-Shanghai,00011,1996,Male,never,never,never,None,None,None
China-Shanghai,00012,1996,Female,never,never,never,None,None,None
China-Shanghai,00013,1996,Female,never,never,never,None,None,None
China-Shanghai,00014,1996,Female,never,never,never,None,None,None
China-Shanghai,00015,1996,Male,never,never,never,None,None,None
China-Shanghai,00016,1996,Female,never,never,never,None,None,None
China-Shanghai,00017,1996,Male,never,never,never,None,None,None
China-Shanghai,00018,1996,Male,never,never,never,None,None,None
China-Shanghai,00019,1996,Female,never,never,never,None,None,None
China-Shanghai,00020,1996,Female,never,never,never,None,None,None
China-Shanghai,00021,1996,Female,never,never,never,Fiveormoretimes,None,None
China-Shanghai,00022,1996,Female,never,never,never,None,None,None
China-Shanghai,00023,1996,Male,never,never,never,Oneortwotimes,None,Oneortwotimes
China-Shanghai,00024,1996,Female,never,never,never,None,None,None
China-Shanghai,00025,1996,Male,never,never,never,None,None,None
China-Shanghai,00026,1996,Male,never,never,never,None,None,None
China-Shanghai,00027,1996,Male,never,never,never,None,None,Oneortwotimes
China-Shanghai,00028,1996,Female,never,never,never,None,None,None
China-Shanghai,00029,1996,Female,never,never,never,None,None,None
China-Shanghai,00030,1996,Male,never,never,never,None,None,None
China-Shanghai,00031,1996,Female,never,never,never,None,None,None
China-Shanghai,00032,1996,Male,never,never,never,None,None,None
China-Shanghai,00033,1996,Female,never,never,never,None,None,None
China-Shanghai,00034,1996,Male,never,never,never,None,None,None
China-Shanghai,00035,1996,Female,never,never,never,None,None,None
China-Shanghai,00036,1996,Female,never,never,never,None,None,None
China-Shanghai,00037,1996,Female,never,never,never,None,None,None
China-Shanghai,00038,1996,Female,never,never,never,None,None,None
China-Shanghai,00039,1996,Female,never,never,never,None,None,None
China-Shanghai,00040,1996,Female,never,never,never,None,None,None
China-Shanghai,00041,1996,Male,never,never,never,Threeorfourtimes,None,Oneortwotimes
China-Shanghai,00042,1996,Male,never,never,never,None,None,None
China-Shanghai,00043,1996,Male,never,never,never,None,None,None
China-Shanghai,00044,1996,Female,never,never,never,None,None,None
China-Shanghai,00045,1996,Female,never,never,never,Oneortwotimes,None,None
China-Shanghai,00046,1996,Female,never,never,never,Oneortwotimes,None,None
China-Shanghai,00047,1996,Male,never,never,never,None,None,None
China-Shanghai,00048,1996,Male,never,never,never,None,None,None
China-Shanghai,00049,1996,Female,never,never,never,None,None,None
China-Shanghai,00050,1996,Male,never,never,never,None,None,None
China-Shanghai,00051,1996,Female,never,never,never,None,None,None
China-Shanghai,00052,1996,Female,never,never,never,None,None,None
China-Shanghai,00053,1996,Female,never,never,never,Oneortwotimes,None,None
China-Shanghai,00054,1996,Male,never,never,never,Oneortwotimes,None,None
China-Shanghai,00055,1996,Male,never,never,never,None,None,None
China-Shanghai,00056,1996,Male,never,never,never,None,None,Oneortwotimes
China-Shanghai,00057,1996,Male,never,never,never,None,None,None
China-Shanghai,00058,1996,Male,never,never,never,None,None,None
China-Shanghai,00059,1996,Female,never,never,never,None,None,None
China-Shanghai,00060,1996,Female,never,never,never,None,None,None
China-Shanghai,00061,1996,Male,never,never,never,Oneortwotimes,None,Oneortwotimes
China-Shanghai,00062,1996,Male,never,never,never,None,None,None
China-Shanghai,00063,1996,Male,never,never,never,None,None,None
China-Shanghai,00064,1996,Male,never,never,never,None,None,None
China-Shanghai,00065,1996,Female,never,never,never,None,None,None
China-Shanghai,00066,1996,Female,never,never,never,None,None,None
China-Shanghai,00067,1996,Female,never,never,never,None,None,None
China-Shanghai,00068,1996,Male,never,never,never,Oneortwotimes,None,None
China-Shanghai,00069,1996,Female,never,never,never,None,None,None
China-Shanghai,00070,1996,Female,never,never,never,None,None,None
China-Shanghai,00071,1996,Female,never,never,never,None,None,None
China-Shanghai,00072,1996,Male,never,never,never,None,None,None
China-Shanghai,00073,1996,Male,never,never,never,None,None,None
China-Shanghai,00074,1996,Female,never,never,never,None,None,None
China-Shanghai,00075,1996,Female,never,never,never,None,None,None
China-Shanghai,00076,1996,Female,never,never,never,None,None,None
China-Shanghai,00077,1996,Male,never,never,never,None,None,None
China-Shanghai,00078,1996,Male,never,never,never,None,None,None
China-Shanghai,00079,1996,Female,never,never,never,None,None,None
China-Shanghai,00080,1996,Female,never,never,never,Oneortwotimes,None,None
China-Shanghai,00081,1996,Female,never,never,never,None,None,None
China-Shanghai,00082,1996,Female,never,never,never,None,None,None
China-Shanghai,00083,1996,Male,never,never,never,None,None,None
China-Shanghai,00084,1996,Female,never,never,never,Fiveormoretimes,None,None
China-Shanghai,00085,1996,Male,never,never,never,None,None,None
China-Shanghai,00086,1996,Male,never,never,never,None,None,None
China-Shanghai,00087,1996,Female,never,never,never,None,None,None
China-Shanghai,00088,1996,Male,never,never,never,None,None,None
China-Shanghai,00089,1996,Male,never,never,never,Oneortwotimes,None,None
China-Shanghai,00090,1996,Male,never,never,never,None,None,None
China-Shanghai,00091,1996,Male,never,never,never,None,None,None
China-Shanghai,00092,1996,Female,never,never,never,None,None,None
China-Shanghai,00093,1996,Female,never,never,never,None,None,None
China-Shanghai,00094,1996,Male,never,never,never,None,None,None
China-Shanghai,00095,1996,Male,never,never,never,Oneortwotimes,None,None
China-Shanghai,00096,1996,Female,never,never,never,None,None,None
China-Shanghai,00097,1996,Male,never,never,never,None,None,None
China-Shanghai,00098,1996,Female,never,never,never,None,None,None
China-Shanghai,00099,1996,Female,never,never,never,None,None,None
China-Shanghai,00100,1996,Female,never,never,never,None,None,None
China-Shanghai,00101,1996,Female,never,never,never,None,None,None
China-Shanghai,00102,1996,Male,once,never,never,None,None,None
China-Shanghai,00103,1996,Female,never,never,never,None,None,None
China-Shanghai,00104,1996,Female,never,never,never,None,None,None
China-Shanghai,00105,1996,Male,twiceormore,never,never,None,None,None
China-Shanghai,00106,1996,Male,never,never,NA,Oneortwotimes,None,None
China-Shanghai,00107,1996,Female,never,never,NA,Oneortwotimes,None,None
China-Shanghai,00108,1996,Female,never,never,never,None,None,None
China-Shanghai,00109,1996,Female,once,once,NA,Oneortwotimes,None,None
China-Shanghai,00110,1996,Male,never,never,never,None,None,None
China-Shanghai,00111,1996,Female,once,NA,NA,None,None,None
China-Shanghai,00112,1996,Male,never,never,never,None,None,None
China-Shanghai,00113,1996,Female,once,never,NA,None,None,None
China-Shanghai,00114,1996,Male,never,never,never,None,None,None
China-Shanghai,00115,1996,Female,never,never,never,None,None,None
China-Shanghai,00116,1996,Male,never,never,NA,None,None,None
China-Shanghai,00117,1996,Female,once,never,never,None,None,None
China-Shanghai,00118,1996,Female,once,never,never,None,None,None
China-Shanghai,00119,1996,Male,once,NA,NA,None,None,None
China-Shanghai,00120,1996,Female,never,never,NA,None,None,None
China-Shanghai,00121,1996,Male,never,never,never,None,None,None
China-Shanghai,00122,1996,Female,once,NA,NA,None,None,None
China-Shanghai,00123,1996,Female,once,NA,NA,None,None,None
China-Shanghai,00124,1996,Male,never,never,never,None,None,None
China-Shanghai,00125,1996,Female,never,once,NA,None,None,None
