CNT,STIDSTD,BirthYear,Gender,Repeat01,Repeat02,Repeat03,LateForSchool,SkipWholeDay,SkipClasses
Israel,00001,1996,Female,never,never,never,Threeorfourtimes,Oneortwotimes,Oneortwotimes
Israel,00002,1996,Female,never,never,never,Threeorfourtimes,None,Oneortwotimes
Israel,00003,1996,Female,never,never,never,Threeorfourtimes,Oneortwotimes,None
Israel,00004,1996,Female,never,never,never,Threeorfourtimes,Oneortwotimes,None
Israel,00005,1996,Female,never,never,never,Threeorfourtimes,Oneortwotimes,Oneortwotimes
Israel,00006,1996,Female,never,never,never,Oneortwotimes,Oneortwotimes,None
Israel,00007,1996,Female,never,never,never,Oneortwotimes,None,Oneortwotimes
Israel,00008,1996,Female,never,never,never,None,None,None
Israel,00009,1996,Female,never,never,never,None,None,None
Israel,00010,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,00011,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,00012,1996,Female,never,never,never,None,Oneortwotimes,None
Israel,00013,1996,Female,never,never,never,None,None,None
Israel,00014,1996,Female,never,never,never,Threeorfourtimes,Oneortwotimes,Oneortwotimes
Israel,00015,1996,Female,never,never,never,Fiveormoretimes,Oneortwotimes,None
Israel,00016,1996,Female,never,never,never,None,None,None
Israel,00017,1996,Female,never,never,never,Threeorfourtimes,Oneortwotimes,Oneortwotimes
Israel,00018,1996,Female,never,never,never,Threeorfourtimes,Oneortwotimes,Oneortwotimes
Israel,00019,1996,Female,never,never,never,Threeorfourtimes,None,Oneortwotimes
Israel,00020,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,00021,1996,Female,never,never,NA,None,None,None
Israel,00022,1996,Female,never,never,never,None,Oneortwotimes,Oneortwotimes
Israel,00023,1996,Female,never,never,never,Threeorfourtimes,None,None
Israel,00024,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,00025,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,00026,1996,Female,never,NA,NA,Threeorfourtimes,None,None
Israel,00027,1996,Female,never,never,never,None,None,None
Israel,00028,1996,Female,once,never,never,Oneortwotimes,None,None
Israel,00029,1996,Female,never,never,never,None,None,None
Israel,00030,1996,Female,never,never,never,Threeorfourtimes,Oneortwotimes,Oneortwotimes
Israel,00031,1996,Female,never,never,never,Oneortwotimes,Oneortwotimes,None
Israel,00032,1996,Female,never,never,never,None,None,None
Israel,00033,1996,Male,never,never,never,None,Oneortwotimes,Fiveormoretimes
Israel,00034,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,00035,1996,Female,never,never,never,None,None,Oneortwotimes
Israel,00036,1996,Male,never,never,never,Fiveormoretimes,None,None
Israel,00037,1996,Male,never,never,never,Oneortwotimes,Oneortwotimes,None
Israel,00038,1996,Female,never,never,never,None,Oneortwotimes,Oneortwotimes
Israel,00039,1996,Male,never,never,never,None,Oneortwotimes,None
Israel,00040,1996,Male,never,never,never,None,Oneortwotimes,None
Israel,00041,1996,Female,never,never,never,None,None,None
Israel,00042,1996,Male,never,never,never,None,Oneortwotimes,None
Israel,00043,1996,Male,never,never,never,Oneortwotimes,None,None
Israel,00044,1996,Male,never,never,NA,None,Oneortwotimes,None
Israel,00045,1996,Female,never,never,never,Threeorfourtimes,None,Threeorfourtimes
Israel,00046,1996,Male,never,never,never,Oneortwotimes,Threeorfourtimes,Fiveormoretimes
Israel,00047,1996,Male,never,never,never,None,None,None
Israel,00048,1996,Male,never,never,never,None,None,None
Israel,00049,1996,Female,never,never,never,None,None,None
Israel,00050,1996,Male,never,never,never,Oneortwotimes,Oneortwotimes,Oneortwotimes
Israel,00051,1996,Male,never,never,never,None,Oneortwotimes,None
Israel,00052,1996,Female,never,never,never,None,None,None
Israel,00053,1996,Female,never,never,never,Oneortwotimes,None,Oneortwotimes
Israel,00054,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,00055,1996,Female,never,never,never,None,Oneortwotimes,None
Israel,00056,1996,Female,never,never,never,None,Oneortwotimes,Oneortwotimes
Israel,00057,1996,Female,never,never,never,None,None,None
Israel,00058,1996,Female,never,never,never,Threeorfourtimes,None,None
Israel,00059,1996,Female,never,never,never,None,Threeorfourtimes,Oneortwotimes
Israel,00060,1996,Male,never,never,never,None,Oneortwotimes,Oneortwotimes
Israel,00061,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,00062,1996,Male,never,never,never,None,None,None
Israel,00063,1996,Male,never,never,never,None,None,None
Israel,00064,1996,Male,never,never,never,None,None,None
Israel,00065,1996,Male,never,never,never,None,None,None
Israel,00066,1996,Male,never,never,never,Oneortwotimes,Fiveormoretimes,Fiveormoretimes
Israel,00067,1996,Male,never,never,never,Oneortwotimes,None,None
Israel,00068,1996,Female,never,never,never,Oneortwotimes,Oneortwotimes,Oneortwotimes
Israel,00069,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,00070,1996,Male,never,never,never,None,Oneortwotimes,None
Israel,00071,1996,Female,never,never,never,Oneortwotimes,Oneortwotimes,Threeorfourtimes
Israel,00072,1996,Male,never,never,never,Threeorfourtimes,None,None
Israel,00073,1996,Male,never,never,never,Oneortwotimes,None,None
Israel,00074,1996,Male,never,never,never,Threeorfourtimes,None,None
Israel,00075,1996,Female,never,never,never,Threeorfourtimes,None,Oneortwotimes
Israel,00076,1996,Female,never,never,never,Threeorfourtimes,None,Oneortwotimes
Israel,00077,1996,Female,never,never,never,Oneortwotimes,Oneortwotimes,Oneortwotimes
Israel,00078,1996,Male,never,never,never,None,None,None
Israel,00079,1996,Female,never,never,never,Oneortwotimes,None,Oneortwotimes
Israel,00080,1996,Male,never,never,never,None,None,None
Israel,00081,1996,Female,never,never,never,None,None,Oneortwotimes
Israel,00082,1996,Female,never,never,never,None,None,None
Israel,00083,1996,Male,never,never,never,Oneortwotimes,None,None
Israel,00084,1996,Male,never,never,never,Oneortwotimes,None,None
Israel,00085,1996,Female,never,never,never,Threeorfourtimes,Oneortwotimes,None
Israel,00086,1996,Male,never,never,never,None,Oneortwotimes,Threeorfourtimes
Israel,00087,1996,Male,never,never,never,Oneortwotimes,Oneortwotimes,Oneortwotimes
Israel,00088,1996,Female,never,never,never,Threeorfourtimes,Fiveormoretimes,Fiveormoretimes
Israel,00089,1996,Male,never,never,never,Fiveormoretimes,None,None
Israel,00090,1996,Female,never,never,never,None,None,None
Israel,00091,1996,Male,never,never,never,Oneortwotimes,None,None
Israel,00092,1996,Female,never,never,never,Oneortwotimes,None,Oneortwotimes
Israel,00093,1996,Female,never,never,never,Threeorfourtimes,Oneortwotimes,Threeorfourtimes
Israel,00094,1996,Female,never,never,never,None,Oneortwotimes,None
Israel,00095,1996,Male,never,never,never,None,None,None
Israel,00096,1996,Male,never,never,never,Fiveormoretimes,None,None
Israel,00097,1996,Male,never,never,never,None,None,None
Israel,00098,1996,Female,never,never,never,None,None,None
Israel,00099,1996,Male,never,never,never,Oneortwotimes,None,None
Israel,00100,1996,Male,never,never,never,Oneortwotimes,None,None
Israel,00101,1996,Male,never,never,never,None,None,None
Israel,00102,1996,Female,never,never,never,Oneortwotimes,Oneortwotimes,None
Israel,00103,1996,Female,never,never,NA,None,None,None
Israel,00104,1996,Male,never,never,never,None,None,None
Israel,00105,1996,Male,never,never,never,None,None,None
Israel,00106,1996,Female,never,never,never,None,None,None
Israel,00107,1996,Male,never,never,never,Fiveormoretimes,None,None
Israel,00108,1996,Female,never,never,never,None,None,None
Israel,00109,1996,Male,never,never,never,Oneortwotimes,None,None
Israel,00110,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,00111,1996,Male,never,never,never,None,None,None
Israel,00112,1996,Female,never,never,never,Oneortwotimes,None,Oneortwotimes
Israel,00113,1996,Male,never,never,never,None,None,None
Israel,00114,1996,Male,never,never,never,None,None,None
Israel,00115,1996,Male,never,never,never,None,None,None
Israel,00116,1996,Male,never,never,never,None,Oneortwotimes,Oneortwotimes
Israel,00117,1996,Male,never,never,never,Fiveormoretimes,Oneortwotimes,Oneortwotimes
Israel,00118,1996,Female,never,never,never,None,None,Oneortwotimes
Israel,00119,1996,Female,never,never,never,None,None,None
Israel,00120,1996,Female,never,never,never,Oneortwotimes,None,None
Israel,00121,1996,Female,never,never,never,Oneortwotimes,None,Oneortwotimes
Israel,00122,1996,Female,never,never,never,None,None,None
Israel,00123,1996,Female,never,never,never,Oneortwotimes,None,Oneortwotimes
Israel,00124,1996,Female,never,never,never,None,None,None
Israel,00125,1996,Female,never,never,never,None,None,None
Israel,00126,1996,Female,never,never,never,None,None,None
Israel,00127,1996,Female,never,never,never,None,None,None
Israel,00128,1996,Male,never,never,never,Oneortwotimes,None,None
Israel,00129,1996,Male,never,never,never,Oneortwotimes,None,None
Israel,00130,1996,Male,never,never,never,Oneortwotimes,None,None
Israel,00131,1996,Male,never,never,never,Threeorfourtimes,Oneortwotimes,Fiveormoretimes
Israel,00132,1996,Female,once,NA,NA,Oneortwotimes,Oneortwotimes,None
Israel,00133,1996,Female,never,never,never,None,None,Oneortwotimes
Israel,00134,1996,Male,never,never,never,Oneortwotimes,Oneortwotimes,Oneortwotimes
Israel,00135,1996,Male,never,never,never,Oneortwotimes,None,Fiveormoretimes
Israel,00136,1996,Female,never,never,never,Oneortwotimes,None,Oneortwotimes
